route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
223-2143,223,"Wynnum Loop Clockwise",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/223,8DC63F,000000
224-2063,224,"Wynnum Loop Anti-Clockwise",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/224,8DC63F,000000
224-2143,224,"Wynnum Loop Anti-Clockwise",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/224,8DC63F,000000
225-2063,225,"Wynnum - Carindale",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/225,8DC63F,000000
225-2143,225,"Wynnum - Carindale",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/225,8DC63F,000000
227-2063,227,"Wynnum - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/227,8DC63F,000000
227-2143,227,"Wynnum - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/227,8DC63F,000000
230-2063,230,"Balmoral - City via Riding Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/230,8DC63F,000000
230-2143,230,"Balmoral - City via Riding Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/230,8DC63F,000000
232-2063,232,"Cannon Hill - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/232,8DC63F,000000
232-2143,232,"Cannon Hill - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/232,8DC63F,000000
234-2063,234,"Woolloongabba - City Loop",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/234,8DC63F,000000
234-2143,234,"Woolloongabba - City Loop",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/234,8DC63F,000000
235-2063,235,"Balmoral - City/Valley via Thynne Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/235,8DC63F,000000
235-2143,235,"Balmoral - City/Valley via Thynne Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/235,8DC63F,000000
240-2056,240,"Capalaba - Wynnum",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/240,8DC63F,000000
242-2056,242,"Wakerley - Carindale (Loop)",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/242,8DC63F,000000
243-2056,243,"Capalaba - Brisbane City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/243,8DC63F,000000
250-2056,250,"Redland Bay - Carindale",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/250,8DC63F,000000
251-2056,251,"Ormiston - Brisbane City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/251,8DC63F,000000
252-2056,252,"Capalaba - Cleveland via Alexandra Hills (Loop)",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/252,8DC63F,000000
253-2056,253,"Capalaba - Thorneside",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/253,8DC63F,000000
254-2056,254,"Capalaba - Wellington Point",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/254,8DC63F,000000
255-2056,255,"Cleveland - Birkdale",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/255,8DC63F,000000
258-2056,258,"Toondah Harbour - Cleveland Station",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/258,8DC63F,000000
261-2064,261,"Mackenzie - Brisbane City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/261,8DC63F,000000
262-2064,262,"Capalaba - Griffith University via Burbank",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/262,8DC63F,000000
263-2056,263,"Capalaba - Sheldon (Avalon Rd)",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/263,8DC63F,000000
264-2056,264,"Capalaba - Alexandra Hills via Maridale Park",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/264,8DC63F,000000
265-2056,265,"Maridale Park - Brisbane City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/265,8DC63F,000000
266-2056,266,"Capalaba - Alexandra Hills (Loop)",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/266,8DC63F,000000
267-2056,267,"Alexandra Hills - Brisbane City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/267,8DC63F,000000
270-2056,270,"Victoria Point Jetty - Carindale",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/270,8DC63F,000000
272-2056,272,"Victoria Pt - Cleveland via Thornlands & Hospital",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/272,8DC63F,000000
273-2056,273,"Cleveland - Brisbane City via Redland Bay Rd",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/273,8DC63F,000000
274-2056,274,"Victoria Pt Jetty - Cleveland via Thornlands",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/274,8DC63F,000000
275-2056,275,"Thornlands - Brisbane City via Finucane Rd",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/275,8DC63F,000000
276-2056,276,"Victoria Point - Brisbane City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/276,8DC63F,000000
277-2056,277,"Victoria Point - Point Halloran (Loop)",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/277,8DC63F,000000
279-2056,279,"Victoria Point Jetty - Brisbane City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/279,8DC63F,000000
280-2056,280,"Point Talburpin - Griffith Uni",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/280,8DC63F,000000
281-2056,281,"Point Talburpin - Brisbane City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/281,8DC63F,000000
282-2056,282,"Victoria Pt - Logan Hyperdome",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/282,8DC63F,000000
299-2064,299,"Rochedale - Brisbane City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/299,8DC63F,000000
300-2063,300,"Toombul - City via Hamilton",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/300,8DC63F,000000
300-2143,300,"Toombul - City via Hamilton",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/300,8DC63F,000000
301-2063,301,"Toombul - City via Hendra",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/301,8DC63F,000000
301-2143,301,"Toombul - City via Hendra",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/301,8DC63F,000000
302-2063,302,"Pinkenba - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/302,8DC63F,000000
302-2143,302,"Pinkenba - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/302,8DC63F,000000
303-2063,303,"Myrtletown - Doomben",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/303,8DC63F,000000
303-2143,303,"Myrtletown - Doomben",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/303,8DC63F,000000
304-2063,304,"Northsore Hamilton Loop via Doomben Station",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/304,8DC63F,000000
